2025-09-27 15:41:58,10000.00,1012.4,3270,3227,[0][0][0][0],20.750000
2025-09-27 15:42:20,10000.00,1012.4,3266,3226,[0][0][0][0],20.869999
2025-09-27 15:42:43,0.00,1012.4,3273,3228,[4][4][0][32],21.000000
2025-09-27 15:43:05,0.00,1012.4,3273,3236,[4][4][0][32],21.109999
2025-09-27 15:43:28,0.00,1012.4,3267,3227,[4][4][0][32],21.219999
2025-09-27 15:43:50,0.00,1012.4,3279,3232,[4][4][0][32],21.309999
2025-09-27 15:44:13,0.00,1012.4,3278,3238,[4][4][0][32],21.400000
2025-09-27 15:54:29,0.00,1012.4,5074,5032,[4][4][0][32],24.639999
2025-09-27 15:54:52,0.00,1012.4,5065,5032,[4][4][0][32],24.430000
2025-09-27 15:59:35,1560.00,1012.4,5057,4992,[0][0][0][0],18.440001
2025-09-27 15:59:58,2175.00,1012.4,5060,5016,[0][0][0][0],18.600000
2025-09-27 16:13:54,1415.00,1012.4,5060,5003,[0][0][0][0],20.629999
2025-09-27 16:14:17,1169.00,1012.4,5065,5025,[0][0][0][0],20.709999
2025-09-27 16:14:39,1027.00,1012.4,5062,5023,[0][0][0][0],20.809999
2025-09-27 16:15:02,926.00,1012.4,5067,5025,[0][0][0][0],20.910000
2025-09-27 16:15:24,882.00,1012.4,5065,5023,[0][0][0][0],20.990000
2025-09-27 16:15:47,846.00,1012.4,5068,5023,[0][0][0][0],21.059999
2025-09-27 16:20:11,2092.00,1012.4,5057,5002,[0][0][0][0],21.389999
2025-09-27 16:20:34,1555.00,1012.4,5063,5031,[0][0][0][0],21.449999
2025-09-27 16:21:02,1444.00,1012.4,5057,5026,[0][0][0][0],21.549999
2025-09-27 16:21:25,1154.00,1012.4,5063,5027,[0][0][0][0],21.629999
2025-09-27 16:21:47,1065.00,1012.4,5060,5027,[0][0][0][0],21.699999
2025-09-27 16:26:25,2141.00,1012.4,5057,5023,[0][0][0][0],23.340000
2025-09-27 16:26:47,2363.00,1012.4,5063,5025,[0][0][0][0],23.199999
2025-09-27 16:27:10,1809.00,1012.4,5064,5031,[0][0][0][0],23.100000
2025-09-27 16:27:32,1427.00,1012.4,5065,5032,[0][0][0][0],23.049999
2025-09-27 16:27:55,1276.00,1012.4,5066,5029,[0][0][0][0],23.019999
2025-09-27 16:34:05,997.00,1012.4,5064,5028,[0][0][0][0],22.369999
2025-09-27 16:36:13,1305.00,1012.4,5095,5050,[0][0][0][0],23.570000
2025-09-27 16:36:38,1830.00,1012.4,5087,5046,[0][0][0][0],23.650000
2025-09-27 16:37:01,1025.00,1012.4,5083,5047,[0][0][0][0],23.609999
2025-09-27 16:37:23,789.00,1012.4,5082,5047,[0][0][0][0],23.549999
2025-09-27 17:14:41,0.00,1012.4,5074,5037,[4][4][0][32],20.289999
2025-09-27 17:15:04,0.00,1012.4,5079,5048,[4][4][0][32],20.389999
2025-09-27 17:15:27,0.00,1012.4,5081,5046,[4][4][0][32],20.500000
2025-09-27 17:15:50,0.00,1012.4,5073,5043,[4][4][0][32],20.600000
2025-09-27 17:16:33,0.00,1012.4,5084,5052,[4][4][0][32],20.750000
2025-09-27 17:16:56,0.00,1012.4,5082,5052,[4][4][0][40],20.840000
2025-09-27 17:25:36,0.00,1012.4,5079,5038,[4][4][0][32],20.939999
2025-09-27 17:26:02,0.00,1012.4,5085,5050,[4][4][0][32],21.000000
2025-09-27 17:26:25,0.00,1012.4,5086,5053,[4][4][0][32],21.090000
2025-09-27 17:26:48,0.00,1012.4,5092,5055,[4][4][0][32],21.170000
2025-09-27 17:27:26,0.00,1012.4,3261,3225,[4][4][0][32],21.289999
2025-09-27 17:27:49,0.00,1012.4,3261,3224,[4][4][0][32],21.350000
2025-09-27 17:28:11,0.00,1012.4,3265,3240,[4][4][0][40],21.400000
2025-09-27 17:28:53,400.00,1012.4,3272,3237,[0][0][0][0],21.320000
2025-09-27 17:29:17,400.00,1012.4,3287,3243,[0][0][0][0],21.299999
2025-09-27 17:29:39,400.00,1012.4,3285,3245,[0][0][0][0],21.320000
2025-09-27 17:30:01,400.00,1012.4,3270,3237,[0][0][0][0],21.369999
