timestamp,co2,presion,vcap1,vcap2,errores,temp
2025-09-25 11:19:54,400.00,1012.4,3494,3454,[0][0][0][0],22.230000
2025-09-25 11:20:17,400.00,1012.4,3485,3448,[0][0][0][0],22.240000
2025-09-25 11:20:39,400.00,1012.4,3495,3579,[0][0][0][0],22.250000
2025-09-25 11:21:02,399.00,1012.4,3482,3488,[0][0][0][0],22.250000
2025-09-25 11:21:24,400.00,1012.4,3482,3552,[0][0][0][0],22.260000
2025-09-25 11:21:47,400.00,1012.4,3482,3423,[0][0][0][0],22.260000
2025-09-25 11:22:10,400.00,1012.4,3568,3542,[0][0][0][0],22.269999
2025-09-25 11:22:32,400.00,1012.4,3480,3430,[0][0][0][0],22.279999
2025-09-25 11:22:54,400.00,1012.4,3480,3523,[0][0][0][0],22.279999
2025-09-25 11:23:17,400.00,1012.4,3476,3536,[0][0][0][0],22.289999
2025-09-25 11:23:41,400.00,1012.4,3592,3532,[0][0][0][0],22.289999
2025-09-25 11:24:02,400.00,1012.4,3591,3525,[0][0][0][0],22.299999
2025-09-25 11:24:24,400.00,1012.4,3472,3412,[0][0][0][0],22.299999
2025-09-25 11:25:10,400.00,1012.4,3592,3418,[0][0][0][0],22.309999
2025-09-25 11:25:33,400.00,1012.4,3478,3418,[0][0][0][0],22.309999
2025-09-25 11:25:55,400.00,1012.4,3603,3495,[0][0][0][0],22.309999
2025-09-25 11:26:17,400.00,1012.4,3493,3433,[0][0][0][0],22.320000
2025-09-25 11:27:02,400.00,1012.4,3473,3527,[0][0][0][0],22.330000
2025-09-25 11:27:25,400.00,1012.4,3588,3526,[0][0][0][0],22.330000
2025-09-25 11:27:47,400.00,1012.4,3589,3531,[0][0][0][0],22.340000
2025-09-25 11:28:10,400.00,1012.4,3498,3438,[0][0][0][0],22.340000
2025-09-25 11:31:55,400.00,1012.4,3617,3431,[0][0][0][0],22.379999
2025-09-25 11:32:18,400.00,1012.4,3488,3429,[0][0][0][0],22.379999
2025-09-25 11:32:41,400.00,1012.4,3609,3429,[0][0][0][0],22.379999
2025-09-25 11:33:03,399.00,1012.4,3472,3413,[0][0][0][0],22.389999
2025-09-25 11:33:26,400.00,1012.4,3469,3516,[0][0][0][0],22.389999
2025-09-25 11:33:48,400.00,1012.4,3560,3404,[0][0][0][0],22.389999
2025-09-25 11:34:11,400.00,1012.4,3577,3517,[0][0][0][0],22.389999
2025-09-25 11:34:33,400.00,1012.4,3579,3533,[0][0][0][0],22.400000
2025-09-25 11:34:56,399.00,1012.4,3580,3407,[0][0][0][0],22.400000
2025-09-25 11:35:18,399.00,1012.4,3462,3403,[0][0][0][0],22.400000
2025-09-25 11:35:41,400.00,1012.4,3461,3434,[0][0][0][0],22.410000
2025-09-25 11:36:04,400.00,1012.4,3466,3404,[0][0][0][0],22.410000
2025-09-25 11:36:26,400.00,1012.4,3460,3502,[0][0][0][0],22.410000
2025-09-25 11:36:49,400.00,1012.4,3459,3513,[0][0][0][0],22.410000
2025-09-25 11:37:11,400.00,1012.4,3573,3513,[0][0][0][0],22.420000
2025-09-25 11:37:34,400.00,1012.4,3457,3398,[0][0][0][0],22.420000
2025-09-25 11:37:56,400.00,1012.4,3456,3395,[0][0][0][0],22.420000
2025-09-25 11:38:19,400.00,1012.4,3571,3398,[0][0][0][0],22.420000
2025-09-25 11:38:41,400.00,1012.4,3456,3395,[0][0][0][0],22.420000
2025-09-25 11:39:04,400.00,1012.4,3455,3395,[0][0][0][0],22.420000
2025-09-25 11:39:27,400.00,1012.4,3457,3396,[0][0][0][0],22.420000
2025-09-25 11:40:34,400.00,1012.4,3605,3547,[0][0][0][0],22.430000
2025-09-25 11:42:27,400.00,1012.4,3479,3420,[0][0][0][0],22.430000
2025-09-25 11:49:13,400.00,1012.4,3488,3560,[0][0][0][0],22.430000
2025-09-25 11:49:35,400.00,1012.4,3486,3426,[0][0][0][0],22.439999
2025-09-25 11:49:58,400.00,1012.4,3485,3426,[0][0][0][0],22.430000
2025-09-25 11:53:43,400.00,1012.4,3599,3533,[0][0][0][0],22.439999
2025-09-25 11:56:44,400.00,1012.4,3584,3535,[0][0][0][0],22.430000
2025-09-25 12:00:29,400.00,1012.4,3590,3529,[0][0][0][0]
