timestamp,temp,hum,presion
2025-09-25 11:19:46,-1.00,-1.00,-1.00
2025-09-25 11:19:47,-1.00,-1.00,-1.00
2025-09-25 11:19:52,-1.00,-1.00,-1.00
2025-09-25 11:19:57,-1.00,-1.00,-1.00
2025-09-25 11:20:02,-1.00,-1.00,-1.00
2025-09-25 11:20:07,-1.00,-1.00,-1.00
2025-09-25 11:20:12,-1.00,-1.00,-1.00
2025-09-25 11:20:17,-1.00,-1.00,-1.00
2025-09-25 11:20:22,-1.00,-1.00,-1.00
2025-09-25 11:20:28,-1.00,-1.00,-1.00
2025-09-25 11:20:33,-1.00,-1.00,-1.00
2025-09-25 11:20:38,-1.00,-1.00,-1.00
2025-09-25 11:20:43,-1.00,-1.00,-1.00
2025-09-25 11:20:48,-1.00,-1.00,-1.00
2025-09-25 11:20:53,-1.00,-1.00,-1.00
2025-09-25 11:20:58,-1.00,-1.00,-1.00
2025-09-25 11:21:03,-1.00,-1.00,-1.00
2025-09-25 11:21:08,-1.00,-1.00,-1.00
2025-09-25 11:21:13,-1.00,-1.00,-1.00
2025-09-25 11:21:18,-1.00,-1.00,-1.00
2025-09-25 11:21:23,-1.00,-1.00,-1.00
2025-09-25 11:21:49,-1.00,-1.00,-1.00
2025-09-25 11:21:54,-1.00,-1.00,-1.00
2025-09-25 11:21:59,-1.00,-1.00,-1.00
2025-09-25 11:22:04,-1.00,-1.00,-1.00
2025-09-25 11:22:09,-1.00,-1.00,-1.00
2025-09-25 11:22:14,-1.00,-1.00,-1.00
2025-09-25 11:22:19,-1.00,-1.00,-1.00
2025-09-25 11:22:24,-1.00,-1.00,-1.00
2025-09-25 11:22:29,-1.00,-1.00,-1.00
2025-09-25 11:22:34,-1.00,-1.00,-1.00
2025-09-25 11:22:39,-1.00,-1.00,-1.00
2025-09-25 11:22:45,-1.00,-1.00,-1.00
2025-09-25 11:22:50,-1.00,-1.00,-1.00
2025-09-25 11:22:55,-1.00,-1.00,-1.00
2025-09-25 11:23:15,-1.00,-1.00,-1.00
2025-09-25 11:23:20,-1.00,-1.00,-1.00
2025-09-25 11:23:25,-1.00,-1.00,-1.00
2025-09-25 11:23:30,-1.00,-1.00,-1.00
2025-09-25 11:23:35,-1.00,-1,-1
2025-09-25 11:23:41,-1.00,-1.00,-1.00
2025-09-25 11:23:42,-1,-1.00,-1.00
2025-09-25 11:23:45,-1.00,-1.00,-1.00
2025-09-25 11:23:51,-1.00,-1.00,-1.00
2025-09-25 11:23:56,-1.00,-1.00,-1.00
2025-09-25 11:24:01,-1.00,-1.00,-1.00
2025-09-25 11:24:06,-1.00,-1.00,-1.00
2025-09-25 11:24:11,-1.00,-1.00,-1.00
2025-09-25 11:24:16,-1.00,-1.00,-1.00
2025-09-25 11:24:21,-1.00,-1.00,-1.00
2025-09-25 11:24:26,-1.00,-1.00,-1.00
2025-09-25 11:24:31,-1.00,-1.00,-1.00
2025-09-25 11:24:36,-1.00,-1.00,-1.00
2025-09-25 11:24:41,-1.00,-1.00,-1.00
2025-09-25 11:25:02,-1.00,-1.00,-1.00
2025-09-25 11:25:07,-1.00,-1.00,-1.00
2025-09-25 11:25:12,-1.00,-1.00,-1.00
2025-09-25 11:25:17,-1.00,-1.00,-1.00
2025-09-25 11:25:22,-1.00,-1.00,-1.00
2025-09-25 11:25:27,-1.00,-1.00,-1.00
2025-09-25 11:25:32,-1.00,-1.00,-1.00
2025-09-25 11:25:37,-1.00,-1.00,-1.00
2025-09-25 11:25:42,-1.00,-1.00,-1.00
2025-09-25 11:25:47,-1.00,-1.00,-1.00
2025-09-25 11:25:53,-1.00,-1.00,-1.00
2025-09-25 11:25:57,-1.00,-1.00,-1.00
2025-09-25 11:26:03,-1.00,-1.00,-1.00
2025-09-25 11:26:08,-1.00,-1.00,-1.00
2025-09-25 11:26:13,-1.00,-1.00,-1.00
2025-09-25 11:26:18,-1.00,-1.00,-1.00
2025-09-25 11:26:23,-1.00,-1.00,-1.00
2025-09-25 11:26:28,-1.00,-1.00,-1.00
2025-09-25 11:26:48,-1.00,-1.00,-1.00
