timestamp,lp8_value
2025-06-16 17:24:10,782.0
2025-06-16 17:24:32,798.0
2025-06-16 17:24:54,784.0
2025-06-16 17:25:16,787.0
2025-06-16 17:25:38,785.0
2025-06-16 17:26:01,790.0
2025-06-16 17:26:23,797.0
2025-06-16 17:26:45,812.0
2025-06-16 17:27:07,789.0
2025-06-16 17:27:29,781.0
2025-06-16 17:27:51,776.0
2025-06-16 17:28:14,782.0
2025-06-16 17:28:36,785.0
2025-06-16 17:28:58,780.0
2025-06-16 17:32:27,777.0
2025-06-16 17:32:49,792.0
2025-06-16 17:33:11,775.0
2025-06-16 17:33:34,768.0
2025-06-16 17:33:56,774.0
2025-06-16 17:34:33,774.0
2025-06-16 17:34:40,798.0
2025-06-16 17:35:02,786.0
2025-06-16 17:35:24,783.0
2025-06-16 17:35:47,773.0
2025-06-16 17:36:09,787.0
2025-06-16 17:36:31,777.0
2025-06-16 17:36:53,770.0
2025-06-16 17:37:15,767.0
2025-06-16 17:37:37,755.0
2025-06-16 17:38:00,764.0
2025-06-16 17:38:22,750.0
2025-06-16 17:38:44,750.0
2025-06-16 17:39:06,741.0
2025-06-16 17:39:28,778.0
2025-06-16 17:39:50,813.0
2025-06-16 17:40:13,741.0
2025-06-16 17:40:35,734.0
2025-06-16 17:40:57,728.0
2025-06-16 17:41:19,723.0
2025-06-16 17:41:41,716.0
2025-06-16 17:42:03,734.0
2025-06-16 17:42:27,730.0
2025-06-16 17:42:48,756.0
2025-06-16 17:43:10,785.0
2025-06-16 17:43:33,742.0
2025-06-16 17:43:54,762.0
2025-06-16 17:44:17,732.0
2025-06-16 17:44:39,747.0
2025-06-16 17:45:01,948.0
2025-06-16 17:45:23,782.0
